Manual_ID,project_name,createTime,publishTime,capitalSourceName,digest,fdid,Tender_type,project_url
4709,Procurement of 0712-234032303055/01 Refinery hydrogenation catalyst preparation and evaluation device improvement project(1),2023-09-11,2023-09-11,Currency,"0712-234032303055/01,Refinery hydrogenation catalyst preparation and evaluation device improvement project",ff808081870df1e9018a832d38841790,Tender Awards,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a832d38841790.html
4710,Procurement of 1058-234DHJS00831 Wuhan Digital Design and Manufacturing Innovation Center - electrofluid printing core components (custom) secondary(2),2023-09-11,2023-09-11,Currency,"1058-234DHJS00831,Wuhan Digital Design and Manufacturing Innovation Center - electrofluid printing core components (custom) secondary",ff808081870df1e9018a832b63ae15c4,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a832b63ae15c4.html
4711,Procurement of 0730-234011020399/16 CF Projection Exposure(2),2023-09-11,2023-09-11,Currency,"0730-234011020399/16,CF Projection Exposure",ff808081870df1e9018a832b63af15cc,Tender Changes,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a832b63af15cc.html
4712,Procurement of 4197-214VISIONOX3/121 G6 Flexible AMOLED Production Line Project(2),2023-09-11,2023-09-11,Currency,"4197-214VISIONOX3/121,G6 Flexible AMOLED Production Line Project",ff808081870df1e9018a832982cd13c9,Tender Changes,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a832982cd13c9.html
4713,Procurement of 0618-234TC23120V3 Spherical Array Acoustic Measurement and Signal Emission Device,2023-09-11,2023-09-11,Currency,"0618-234TC23120V3,Spherical array acoustic measurement and signal emission device",ff808081870df1e9018a831cc3a20767,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a831cc3a20767.html
4714,Procurement of 0664-2340SUMECK14 Automatic winder(1),2023-09-11,2023-09-11,Currency,"0664-2340SUMECK14,Automatic winder",ff808081870df1e9018a831ae78b059b,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a831ae78b059b.html
4715,Procurement of 0730-234011020399/19 (Thermal AMC prevention unit)TAU(2),2023-09-11,2023-09-11,Currency,"0730-234011020399/19,(Thermal AMC prevention unit)TAU",ff808081870df1e9018a83174af301f7,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a83174af301f7.html
4716,Procurement of 0613-234022213103 ETCH(1),2023-09-11,2023-09-11,Currency,"0613-234022213103,ETCH",ff808081870df1e9018a8311be287c72,Tender Awards,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a8311be287c72.html
4717,Procurement of 0730-234011020399/18 (Temperature control unit)TCU(2),2023-09-11,2023-09-11,Currency,"0730-234011020399/18,(Temperature control unit)TCU",ff808081870df1e9018a830ff3a87a9f,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a830ff3a87a9f.html
4718,"Procurement of 0712-234022303063 Pneumatic plunger valve for Sinopec Qilu Petrochemical Co.,Ltd(3)",2023-09-11,2023-09-11,Currency,"0712-234022303063,Pneumatic plunger valve for Sinopec Qilu Petrochemical Co.,Ltd",ff808081870df1e9018a830f096579ac,Tender Changes,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a830f096579ac.html
4719,Procurement of 0618-234TC230L0E9 Project Name: Automatic Wedge Welding Machine Equipment and Fully Automatic Placement Machine Equipment(2),2023-09-11,2023-09-11,Currency,"0618-234TC230L0E9,Automatic wedge welding machine equipment and fully automatic SMT machine equipment",ff808081870df1e9018a82f9e96964f6,Tender Changes,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a82f9e96964f6.html
4720,Procurement of 0811-234DSITC2371 Fully automatic cleaning machine (multi chamber)(1),2023-09-11,2023-09-11,Currency,"0811-234DSITC2371,Fully automatic cleaning machine (multi chamber)",ff808081870df1e9018a82ed2658589c,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a82ed2658589c.html
4721,"Procurement of 0622-234017007059 Institute of Energy,Hefei Comprehensive National Science Center (Anhui Laboratory for Energy) Power device analyzer procurement(2)",2023-09-11,2023-09-11,Currency,"0622-234017007059,Institute of Energy,Hefei Comprehensive National Science Center (Anhui Laboratory for Energy) Power device analyzer procurement",ff808081870df1e9018a82ed26585894,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a82ed26585894.html
4722,Procurement of 4197-214VISIONOX3/117 G6 Flexible AMOLED Production Line Project(2),2023-09-11,2023-09-11,Currency,"4197-214VISIONOX3/117,G6 Flexible AMOLED Production Line Project",ff808081870df1e9018a82dac97346a8,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a82dac97346a8.html
4723,Procurement of 0705-234002025047 Procurement of digital slide scanners(2),2023-09-11,2023-09-11,Currency,"0705-234002025047,Procurement of digital slide scanners",ff808081870df1e9018a82c4d0c73120,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a82c4d0c73120.html
4724,Procurement of 0705-234002025046 Procurement of Digital Pathology Precision Quantitative Workstations(2),2023-09-11,2023-09-11,Currency,"0705-234002025046,Procurement of Digital Pathology Precision Quantitative Workstations",ff808081870df1e9018a82c304f32f5e,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a82c304f32f5e.html
4725,Procurement of 0730-234011020035/47 Backlight machine(1),2023-09-11,2023-09-11,Currency,"0730-234011020035/47,Backlight machine",ff808081870df1e9018a82b27e8d1ee1,Tender Awards,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a82b27e8d1ee1.html
4726,"Procurement of 0623-2340J1110154 Yixing CRRC Times Semiconductor Co., LTD. Monolithic cleaning equipment project (re-bid)(2)",2023-09-11,2023-09-11,Currency,"0623-2340J1110154,Yixing CRRC Times Semiconductor Co., LTD. Monolithic cleaning equipment project (re-bid)",ff808081870df1e9018a82afcc0b1c1d,Evaluation Results,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a82afcc0b1c1d.html
4727,Procurement of 0730-234011020035/46 Cell-Tape device(1),2023-09-11,2023-09-11,Currency,"0730-234011020035/46,Cell-Tape device",ff808081870df1e9018a82aede8e1b2c,Tender Awards,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a82aede8e1b2c.html
4728,Procurement of 0730-234011020035/45 Cell AOI Equipment(1),2023-09-11,2023-09-11,Currency,"0730-234011020035/45,Cell AOI Equipment",ff808081870df1e9018a82ab345e177c,Tender Awards,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a82ab345e177c.html
4729,Procurement of 0730-234011020035/44 Three-in-one dispenser Equipment(1),2023-09-11,2023-09-11,Currency,"0730-234011020035/44,Three-in-one dispenser Equipment",ff808081870df1e9018a82a69c8012cf,Tender Awards,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a82a69c8012cf.html
4730,Procurement of 0730-234011020035/43 Grinding chamfer machine(1),2023-09-11,2023-09-11,Currency,"0730-234011020035/43,Grinding chamfer machine",ff808081870df1e9018a82a11cd90cf7,Tender Awards,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a82a11cd90cf7.html
4731,Procurement of 0613-234022124110 HHGrace 8-Inch IC Manufacturing Project(2),2023-09-11,2023-09-11,Currency,"0613-234022124110,HHGrace 8-Inch IC Manufacturing Project",ff808081870df1e9018a8255237843d6,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a8255237843d6.html
4732,Procurement of 0722-234FE0750JT6 Flatness Tester Procurement Project(1),2023-09-11,2023-09-11,Currency,"0722-234FE0750JT6,Flatness Tester Procurement Project",ff808081870df1e9018a8255237843dd,Tender Awards,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a8255237843dd.html
4733,Procurement of 0705-234104068006 Arbitrary Waveform Generator for YDIOE(1),2023-09-11,2023-09-11,Currency,"0705-234104068006,Arbitrary Waveform Generator for YDIOE",ff808081870df1e9018a82517b804025,Tender Awards,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a82517b804025.html
4734,Procurement of 0712-234032303073/02 Sinopec Bio-fuel and Bio-chemical Key laboratory improvement project(2),2023-09-11,2023-09-11,Currency,"0712-234032303073/02,Sinopec Bio-fuel and Bio-chemical Key laboratory improvement project",ff808081870df1e9018a824fa8ff3e60,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a824fa8ff3e60.html
4735,Procurement of 0736-234020230129 Numerical Control Lathe(2),2023-09-11,2023-09-11,Currency,"0736-234020230129,Numerical Control Lathe",ff808081870df1e9018a824fa8ff3e68,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a824fa8ff3e68.html
4736,"Procurement of 0623-2340J1110155/01 Yixing CRRC Times Semiconductor Co., LTD. Laser annealing equipment project (re-bidding)(2)",2023-09-11,2023-09-11,Currency,"0623-2340J1110155/01,Yixing CRRC Times Semiconductor Co., LTD. Laser annealing equipment project (re-bidding)",ff808081870df1e9018a824ebddd3d6e,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a824ebddd3d6e.html
4737,"Procurement of 0623-2340J1110155/02 Yixing CRRC Times Semiconductor Co., LTD. Laser annealing equipment project (re-bidding)(2)",2023-09-11,2023-09-11,Currency,"0623-2340J1110155/02,Yixing CRRC Times Semiconductor Co., LTD. Laser annealing equipment project (re-bidding)",ff808081870df1e9018a824ebddd3d76,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a824ebddd3d76.html
4738,Procurement of 1143-2240ZRGJ0065/02 Emulsion and spray pump station(1),2023-09-11,2023-09-11,Currency,"1143-2240ZRGJ0065/02,Emulsion and spray pump station",ff808081870df1e9018a823b80032a70,Tender Awards,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a823b80032a70.html
